Date,Adj Close
2010-01-01,100.000000
2010-01-02,100.996649
2010-01-03,99.645766
2010-01-04,99.020254
2010-01-05,99.437514
2010-01-06,98.481229
2010-01-07,98.459447
2010-01-08,98.685372
2010-01-09,97.917544
2010-01-10,96.692454
2010-01-11,96.928562
2010-01-12,97.945062
2010-01-13,97.362090
2010-01-14,97.086297
2010-01-15,98.746598
2010-01-16,98.245363
2010-01-17,97.790408
2010-01-18,100.219992
2010-01-19,98.746589
2010-01-20,99.585993
2010-01-21,97.659314
2010-01-22,97.126612
2010-01-23,98.647433
2010-01-24,99.909680
2010-01-25,99.062937
2010-01-26,98.663827
2010-01-27,98.792404
2010-01-28,97.606070
2010-01-29,98.195647
2010-01-30,100.457792
2010-01-31,99.155095
2010-02-01,97.258260
2010-02-02,97.587787
2010-02-03,97.520354
2010-02-04,99.345574
2010-02-05,99.235994
2010-02-06,99.235340
2010-02-07,99.095641
2010-02-08,98.167912
2010-02-09,98.880267
2010-02-10,97.628443
2010-02-11,98.823336
2010-02-12,98.881042
2010-02-13,99.429996
2010-02-14,98.931351
2010-02-15,98.074192
2010-02-16,99.905714
2010-02-17,100.425121
2010-02-18,101.695435
2010-02-19,101.936864
2010-02-20,104.686453
2010-02-21,105.113921
2010-02-22,104.089039
2010-02-23,104.944513
2010-02-24,105.444501
2010-02-25,103.076688
2010-02-26,103.008778
2010-02-27,104.075459
2010-02-28,104.965094
2010-03-01,104.661727
2010-03-02,103.451950
2010-03-03,104.013447
2010-03-04,102.879861
2010-03-05,104.303894
2010-03-06,104.036940
2010-03-07,103.130774
2010-03-08,102.598281
2010-03-09,101.820584
2010-03-10,101.301895
2010-03-11,100.608955
2010-03-12,100.278487
2010-03-13,100.568681
2010-03-14,101.221357
2010-03-15,100.153834
2010-03-16,99.254967
2010-03-17,98.879352
2010-03-18,98.991887
2010-03-19,99.138235
2010-03-20,97.181015
2010-03-21,98.900634
2010-03-22,98.073158
2010-03-23,99.921372
2010-03-24,98.628577
2010-03-25,97.731051
2010-03-26,97.534385
2010-03-27,97.366112
2010-03-28,96.666068
2010-03-29,97.427781
2010-03-30,95.735679
2010-03-31,96.799481
2010-04-01,96.058934
2010-04-02,97.317409
2010-04-03,96.968943
2010-04-04,95.669562
2010-04-05,96.148256
2010-04-06,98.365786
2010-04-07,98.363379
2010-04-08,98.522350
2010-04-09,98.178739
2010-04-10,97.370608
2010-04-11,96.690111
2010-04-12,95.469228
2010-04-13,94.180547
2010-04-14,94.294516
2010-04-15,95.882545
2010-04-16,96.433621
2010-04-17,96.940054
2010-04-18,97.229952
2010-04-19,96.441578
2010-04-20,96.668785
2010-04-21,96.310248
2010-04-22,97.266077
2010-04-23,98.519312
2010-04-24,99.812158
2010-04-25,100.228488
2010-04-26,101.330760
2010-04-27,100.712268
2010-04-28,100.663664
2010-04-29,100.501867
2010-04-30,99.648225
2010-05-01,98.682107
2010-05-02,97.861579
2010-05-03,97.463501
2010-05-04,95.655025
2010-05-05,97.679310
2010-05-06,97.927453
2010-05-07,98.022891
2010-05-08,98.682349
2010-05-09,98.578747
2010-05-10,99.112143
2010-05-11,99.641698
2010-05-12,100.429023
2010-05-13,98.260693
2010-05-14,99.339862
2010-05-15,99.538967
2010-05-16,100.211500
2010-05-17,100.725847
2010-05-18,101.041609
2010-05-19,102.536658
2010-05-20,102.207421
2010-05-21,102.780868
2010-05-22,102.541271
2010-05-23,102.585910
2010-05-24,105.131727
2010-05-25,107.058371
2010-05-26,107.428182
2010-05-27,108.448258
2010-05-28,108.263802
2010-05-29,106.283296
2010-05-30,106.902737
2010-05-31,106.637283
2010-06-01,105.399260
